job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python
1,AI Engineer,Startup,Retail,Canada,Remote,Senior,2,Master,0
2,Machine Learning Engineer,MNC,Technology,Australia,Hybrid,Mid,0,Bachelor,1
3,Machine Learning Engineer,MNC,Technology,Germany,Onsite,Mid,14,Master,1
4,Business Analyst,Startup,Healthcare,Germany,Remote,Mid,9,Master,0
5,Data Scientist,MNC,Healthcare,Germany,Hybrid,Mid,5,Master,1
6,Machine Learning Engineer,Medium,Technology,Australia,Onsite,Senior,6,Master,1
7,Data Scientist,MNC,Technology,Germany,Remote,Entry,14,Bachelor,0
8,Data Analyst,Enterprise,Finance,UK,Onsite,Entry,4,PhD,1
9,Machine Learning Engineer,Startup,Education,Canada,Onsite,Mid,2,PhD,0
10,Data Engineer,Enterprise,Retail,USA,Onsite,Senior,9,Master,1
11,AI Engineer,Medium,E-commerce,Singapore,Onsite,Entry,10,PhD,0
12,Machine Learning Engineer,Startup,Education,USA,Remote,Mid,13,Master,0
13,Data Analyst,Medium,Finance,Germany,Remote,Entry,6,PhD,1
14,Data Scientist,MNC,Finance,Australia,Remote,Mid,6,Master,1
15,Machine Learning Engineer,MNC,Education,Singapore,Remote,Entry,2,Bachelor,1
16,Data Analyst,MNC,Retail,USA,Onsite,Mid,3,Bachelor,1
17,Business Analyst,Enterprise,Technology,Germany,Onsite,Senior,2,Master,0
18,Machine Learning Engineer,MNC,Finance,UK,Remote,Entry,6,Master,0
19,AI Engineer,Startup,E-commerce,UK,Onsite,Entry,2,Bachelor,0
20,AI Engineer,Enterprise,Finance,Germany,Hybrid,Mid,13,PhD,0
21,Data Scientist,MNC,Finance,Germany,Remote,Mid,3,Bachelor,1
22,Data Analyst,Enterprise,Education,Singapore,Hybrid,Mid,5,Master,1
23,Data Scientist,Startup,Technology,Canada,Onsite,Senior,0,Bachelor,1
24,Data Scientist,Medium,E-commerce,Singapore,Onsite,Entry,12,PhD,0
25,Machine Learning Engineer,Enterprise,Education,India,Onsite,Mid,14,Master,1
26,Data Scientist,Enterprise,Education,Singapore,Remote,Mid,9,PhD,0
27,AI Engineer,Startup,Education,Australia,Onsite,Senior,11,PhD,1
28,Data Engineer,Startup,Education,India,Hybrid,Mid,3,Bachelor,1
29,AI Engineer,Startup,Technology,Australia,Remote,Mid,2,PhD,0
30,Data Analyst,Startup,Retail,Germany,Hybrid,Senior,4,Master,1
31,Machine Learning Engineer,Medium,Finance,Singapore,Hybrid,Mid,8,Master,1
32,Business Analyst,Enterprise,Retail,Germany,Hybrid,Senior,5,Bachelor,0
33,AI Engineer,MNC,Healthcare,India,Remote,Senior,13,Bachelor,1
34,Machine Learning Engineer,Medium,Retail,India,Remote,Entry,3,Bachelor,1
35,AI Engineer,Medium,Retail,Germany,Remote,Entry,2,Bachelor,0
36,Business Analyst,Startup,Technology,Singapore,Hybrid,Mid,2,Bachelor,1
37,Machine Learning Engineer,Medium,Healthcare,UK,Remote,Senior,4,Master,1
38,Data Scientist,MNC,Healthcare,Canada,Remote,Senior,2,Bachelor,1
39,Data Scientist,Enterprise,E-commerce,Singapore,Remote,Senior,13,Bachelor,0
40,Data Scientist,MNC,Technology,Canada,Remote,Senior,6,Bachelor,1
41,Data Analyst,MNC,Finance,Germany,Onsite,Entry,6,Bachelor,1
42,Data Analyst,Enterprise,E-commerce,UK,Onsite,Mid,11,PhD,0
43,Data Scientist,Medium,Retail,India,Hybrid,Entry,4,Bachelor,1
44,Data Scientist,Startup,Technology,Germany,Hybrid,Senior,12,PhD,1
45,Data Engineer,Medium,Technology,Germany,Remote,Senior,6,Bachelor,0
46,Data Scientist,MNC,Finance,Australia,Remote,Mid,11,Master,0
47,Data Analyst,MNC,E-commerce,Germany,Onsite,Senior,1,Bachelor,0
48,Data Analyst,MNC,Finance,UK,Hybrid,Mid,7,Bachelor,1
49,Data Scientist,MNC,Retail,Australia,Onsite,Entry,0,Bachelor,0
50,Data Analyst,MNC,E-commerce,Singapore,Remote,Mid,7,Master,1
51,Data Scientist,Medium,Finance,UK,Remote,Mid,8,PhD,1
52,Data Scientist,Startup,Education,Germany,Remote,Entry,4,PhD,1
53,Data Scientist,Startup,Education,USA,Hybrid,Entry,12,PhD,0
54,Machine Learning Engineer,Medium,Healthcare,Australia,Hybrid,Senior,1,PhD,1
55,Business Analyst,Startup,Education,India,Onsite,Senior,5,PhD,1
56,Machine Learning Engineer,MNC,Finance,Australia,Remote,Senior,6,Master,1
57,Machine Learning Engineer,Startup,Technology,Germany,Remote,Mid,4,Master,1
58,Data Analyst,Medium,Technology,Germany,Remote,Senior,10,PhD,0
59,Machine Learning Engineer,MNC,Healthcare,Canada,Hybrid,Entry,0,Master,0
60,Machine Learning Engineer,Startup,Finance,Australia,Onsite,Mid,14,PhD,1
61,Data Engineer,Medium,Healthcare,Germany,Onsite,Mid,12,Master,1
62,Data Analyst,Enterprise,Technology,Canada,Hybrid,Mid,2,Master,0
63,Data Scientist,Enterprise,Education,India,Hybrid,Entry,12,Bachelor,1
64,Data Engineer,Medium,Finance,Germany,Onsite,Mid,4,Bachelor,1
65,Data Scientist,Startup,E-commerce,Australia,Remote,Mid,6,Master,1
66,Data Analyst,Enterprise,E-commerce,Germany,Onsite,Mid,3,Master,1
67,Data Engineer,Startup,Healthcare,Singapore,Onsite,Mid,12,PhD,1
68,Data Scientist,MNC,Finance,India,Hybrid,Mid,13,Bachelor,0
69,Machine Learning Engineer,Startup,Healthcare,Germany,Hybrid,Entry,3,Master,0
70,Data Analyst,Medium,Finance,Canada,Hybrid,Mid,4,Master,1
71,AI Engineer,MNC,E-commerce,UK,Remote,Entry,11,Master,1
72,AI Engineer,Startup,E-commerce,India,Remote,Mid,7,PhD,1
73,Data Scientist,Startup,Healthcare,Australia,Remote,Senior,2,PhD,1
74,Business Analyst,Startup,Technology,Australia,Onsite,Senior,5,Bachelor,0
75,Machine Learning Engineer,Medium,E-commerce,UK,Hybrid,Entry,5,Master,0
76,Business Analyst,Enterprise,Technology,Germany,Remote,Mid,14,PhD,0
77,Machine Learning Engineer,MNC,Education,Australia,Onsite,Senior,13,Master,0
78,AI Engineer,Enterprise,Technology,Germany,Remote,Entry,9,PhD,0
79,Data Engineer,Enterprise,Finance,Australia,Remote,Entry,13,Master,1
80,Business Analyst,Enterprise,Finance,Canada,Remote,Mid,4,Bachelor,1
81,Machine Learning Engineer,Enterprise,Healthcare,UK,Hybrid,Senior,10,Bachelor,0
82,Business Analyst,MNC,Finance,USA,Remote,Senior,5,PhD,1
83,Data Scientist,MNC,Education,Australia,Onsite,Entry,6,Bachelor,0
84,Data Engineer,MNC,Education,Canada,Remote,Entry,13,Bachelor,1
85,Machine Learning Engineer,Medium,Education,UK,Onsite,Entry,6,Bachelor,0
86,AI Engineer,MNC,Healthcare,Singapore,Remote,Entry,6,Bachelor,0
87,Business Analyst,Enterprise,Retail,USA,Onsite,Mid,7,PhD,1
88,Business Analyst,Medium,Healthcare,Singapore,Hybrid,Senior,6,Bachelor,0
89,Machine Learning Engineer,Startup,E-commerce,Germany,Onsite,Mid,1,PhD,0
90,Data Scientist,Medium,E-commerce,Germany,Onsite,Mid,11,Master,1
91,Data Analyst,Startup,Education,USA,Hybrid,Entry,6,Bachelor,0
92,Business Analyst,Medium,E-commerce,UK,Hybrid,Mid,9,Bachelor,1
93,Business Analyst,Medium,Education,Canada,Onsite,Entry,5,PhD,0
94,Data Scientist,Medium,E-commerce,Germany,Hybrid,Mid,1,Master,1
95,Business Analyst,Enterprise,Retail,Germany,Remote,Senior,7,PhD,0
96,Data Scientist,Medium,Technology,Singapore,Onsite,Senior,0,PhD,1
97,Data Scientist,Startup,Finance,USA,Remote,Entry,7,PhD,1
98,Data Analyst,Medium,Education,India,Onsite,Entry,10,PhD,0
99,Data Analyst,MNC,E-commerce,USA,Onsite,Entry,5,Master,1
100,Machine Learning Engineer,MNC,Finance,Singapore,Hybrid,Entry,9,Master,0
101,Business Analyst,Medium,Education,Germany,Onsite,Senior,10,Master,1
102,Business Analyst,Medium,Retail,Canada,Onsite,Mid,6,PhD,1
103,Business Analyst,Medium,Finance,Canada,Hybrid,Mid,6,Master,0
104,Data Analyst,Enterprise,Education,Germany,Remote,Mid,12,Bachelor,1
105,Data Engineer,Startup,Technology,Canada,Remote,Mid,2,Bachelor,0
106,Data Scientist,Startup,Education,Singapore,Remote,Senior,8,Bachelor,1
107,Data Engineer,MNC,Retail,Australia,Remote,Mid,6,Bachelor,1
108,Data Engineer,Medium,Retail,India,Remote,Mid,0,Bachelor,1
109,Data Scientist,Enterprise,Technology,India,Remote,Entry,9,PhD,0
110,Business Analyst,MNC,E-commerce,Singapore,Remote,Entry,4,Master,1
111,AI Engineer,Medium,Finance,Singapore,Remote,Entry,10,PhD,1
112,Machine Learning Engineer,Medium,E-commerce,Germany,Remote,Entry,0,Bachelor,1
113,Data Analyst,Startup,E-commerce,USA,Hybrid,Senior,10,Bachelor,0
114,Data Analyst,Medium,Technology,Singapore,Remote,Senior,9,Bachelor,0
115,Machine Learning Engineer,MNC,Healthcare,Australia,Remote,Entry,1,PhD,1
116,Machine Learning Engineer,MNC,E-commerce,UK,Hybrid,Senior,6,Master,1
117,AI Engineer,MNC,Technology,India,Onsite,Entry,0,Master,1
118,Business Analyst,MNC,Technology,UK,Onsite,Entry,12,PhD,0
119,AI Engineer,Startup,Retail,Canada,Remote,Senior,6,PhD,0
120,Data Analyst,Enterprise,Finance,Australia,Remote,Entry,4,PhD,0
121,AI Engineer,Medium,Healthcare,Canada,Onsite,Entry,7,Bachelor,1
122,Business Analyst,Startup,Retail,Australia,Hybrid,Senior,12,PhD,1
123,Data Engineer,Enterprise,Finance,Australia,Remote,Mid,11,Bachelor,0
124,Business Analyst,Startup,E-commerce,India,Hybrid,Mid,14,Master,0
